Date,leaf_mar,leaf_apr,leaf_may,mwc30av,mwc60av,Station,Precip(totalmm),Airtemp(meanc),SolarRadiationMJm-2,RelativeHumidity(%),VaporPressureDeficit(Pa)
2000-05-22,1.0,1.0,1.0,0.15466666666666667,0.22627083333333337,CS01,0.0,18.9,29.86662,81.541667,378.20246990719465
2000-05-23,1.0,1.0,1.0,0.15022916666666666,0.20420833333333333,CS01,2.79,18.7,17.10847,93.916667,121.74762457380304
2000-05-24,1.0,1.0,1.0,0.145125,0.19393749999999998,CS01,0.76,22.3,18.99082,85.333333,401.7721403881076
2000-05-25,1.0,1.0,1.0,0.13964583333333333,0.186,CS01,3.81,23.1,18.19605,86.833333,340.87389535092353
2000-05-26,1.0,1.0,1.0,0.13810416666666667,0.18093750000000003,CS01,0.0,18.9,15.35161,94.833333,123.4211419641344
2000-05-27,1.0,1.0,1.0,0.1325,0.1813125,CS01,11.43,23.9,25.9346,81.458333,529.182016026661
2000-05-28,1.0,1.0,1.0,0.14227083333333335,0.2087291666666667,CS01,1.52,20.9,13.67841,91.916667,187.91733526835657
2000-05-29,1.0,1.0,1.0,0.14047916666666665,0.18729166666666666,CS01,0.0,16.7,19.07448,85.166667,272.42098107027
2000-05-30,1.0,1.0,1.0,0.1346875,0.1785625,CS01,0.0,18.9,25.47447,84.625,313.5939868537666
2000-05-31,1.0,1.0,1.0,0.12929166666666667,0.17252083333333335,CS01,0.0,19.2,28.31891,82.416667,372.3524168143818
2000-06-01,1.0,1.0,1.0,0.12370833333333332,0.16749999999999998,CS01,0.0,21.7,29.19734,83.625,405.21393871449897
2000-06-02,1.0,1.0,1.0,0.11891666666666667,0.16295833333333332,CS01,0.0,21.7,27.73329,83.75,421.0932835820895
2000-06-03,1.0,1.0,1.0,0.11554166666666667,0.15897916666666664,CS01,0.0,22.3,21.12415,86.708333,330.15197975550984
2000-06-04,1.0,1.0,1.0,0.11452083333333334,0.15658333333333335,CS01,1.52,19.8,11.21044,97.333333,60.13585155854173
2000-06-05,1.0,1.0,1.0,0.1590625,0.23652083333333335,CS01,29.97,18.7,8.19868,99.458333,11.913497107376614
2000-06-06,1.0,1.0,1.0,0.16877083333333331,0.22649999999999998,CS01,0.0,15.3,25.9346,76.791667,420.910748014676
2000-06-07,1.0,1.0,1.0,0.15770833333333334,0.20602083333333332,CS01,0.0,15.0,31.49799,72.0,447.9189944444444
2000-06-08,1.0,1.0,1.0,0.14802083333333332,0.194,CS01,0.0,16.1,28.98819,81.333333,337.5683057721378
